Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
2000-01-21 21:00:00,1843,1843
2000-01-21 22:00:00,1825_1,1825_1
2000-01-21 23:00:00,1807_7,1807_7
2000-01-22 00:00:00,1790_7,1790_7
2000-01-22 01:00:00,1774_1,1774_1
2000-01-22 02:00:00,1757_7,1757_7
2000-01-22 03:00:00,1740,1740
2000-01-22 04:00:00,1721_3,1721_3
2000-01-22 05:00:00,1702_7,1702_7
2000-01-22 06:00:00,1684_3,1684_3
2000-01-22 07:00:00,1666_1,1666_1
2000-01-22 08:00:00,1648_2,1648_2
2000-01-22 09:00:00,1630_6,1630_6
2000-01-22 10:00:00,1613_2,1613_2
2000-01-22 11:00:00,1595_8,1595_8
2000-01-22 12:00:00,1578_8,1578_8
2000-01-22 13:00:00,1562_2,1562_2
2000-01-22 14:00:00,1546_1,1546_1
2000-01-22 15:00:00,1530_7,1530_7
2000-01-22 16:00:00,1516_1,1516_1
2000-01-22 17:00:00,1500_7,1500_7
2000-01-22 18:00:00,1484_8,1484_8
2000-01-22 19:00:00,1469_2,1469_2
2000-01-22 20:00:00,1454_1,1454_1
2000-01-22 21:00:00,1439_6,1439_6
2000-01-22 22:00:00,1425_9,1425_9
2000-01-22 23:00:00,1413_2,1413_2
2000-01-23 00:00:00,1401_2,1401_2
2000-01-23 01:00:00,1390,1390
2000-01-23 02:00:00,1379_9,1379_9
2000-01-23 03:00:00,1371,1371
2000-01-23 04:00:00,1363,1363
2000-01-23 05:00:00,1355_7,1355_7
2000-01-23 06:00:00,1349_2,1349_2
2000-01-23 07:00:00,1343_3,1343_3
2000-01-23 08:00:00,1337_8,1337_8
