Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-21 15:00:00,2264_6
2000-01-21 16:00:00,2240_7
2000-01-21 17:00:00,2217_6
2000-01-21 18:00:00,2195_1
2000-01-21 19:00:00,2173_3
2000-01-21 20:00:00,2152
2000-01-21 21:00:00,2131_2
2000-01-21 22:00:00,2110_7
2000-01-21 23:00:00,2090_8
2000-01-22 00:00:00,2071_3
2000-01-22 01:00:00,2052_4
2000-01-22 02:00:00,2033_9
2000-01-22 03:00:00,2015_9
2000-01-22 04:00:00,1998_3
2000-01-22 05:00:00,1981_3
2000-01-22 06:00:00,1964_8
2000-01-22 07:00:00,1948_5
2000-01-22 08:00:00,1932_5
2000-01-22 09:00:00,1917_1
2000-01-22 10:00:00,1902_3
2000-01-22 11:00:00,1887_5
2000-01-22 12:00:00,1872_4
2000-01-22 13:00:00,1856_9
2000-01-22 14:00:00,1841_4
2000-01-22 15:00:00,1826_1
2000-01-22 16:00:00,1811_3
2000-01-22 17:00:00,1797_1
2000-01-22 18:00:00,1782_7
2000-01-22 19:00:00,1767_8
2000-01-22 20:00:00,1752_3
2000-01-22 21:00:00,1736_9
2000-01-22 22:00:00,1722_1
2000-01-22 23:00:00,1707_5
2000-01-23 00:00:00,1693_1
2000-01-23 01:00:00,1679_1
2000-01-23 02:00:00,1665_6
2000-01-23 03:00:00,1652_5
2000-01-23 04:00:00,1639_6
2000-01-23 05:00:00,1627
2000-01-23 06:00:00,1614_7
2000-01-23 07:00:00,1603
2000-01-23 08:00:00,1591_7
2000-01-23 09:00:00,1581
2000-01-23 10:00:00,1570_7
2000-01-23 11:00:00,1560_9
2000-01-23 12:00:00,1551_8
2000-01-23 13:00:00,1543_1
2000-01-23 14:00:00,1534_6
2000-01-23 15:00:00,1526_4
2000-01-23 16:00:00,1518_5
2000-01-23 17:00:00,1510_8
2000-01-23 18:00:00,1503_5
2000-01-23 19:00:00,1496_6
2000-01-23 20:00:00,1490
2000-01-23 21:00:00,1483_6
2000-01-23 22:00:00,1477_3
2000-01-23 23:00:00,1471_3
2000-01-24 00:00:00,1465_4
2000-01-24 01:00:00,1459_6
2000-01-24 02:00:00,1454
2000-01-24 03:00:00,1448_4
2000-01-24 04:00:00,1442_8
2000-01-24 05:00:00,1437_3
2000-01-24 06:00:00,1431_9
2000-01-24 07:00:00,1426_4
2000-01-24 08:00:00,1421
2000-01-24 09:00:00,1415_7
2000-01-24 10:00:00,1410_4
2000-01-24 11:00:00,1405_3
2000-01-24 12:00:00,1400_1
2000-01-24 13:00:00,1394_8
2000-01-24 14:00:00,1389_5
2000-01-24 15:00:00,1384_2
2000-01-24 16:00:00,1378_8
2000-01-24 17:00:00,1373_4
2000-01-24 18:00:00,1367_9
2000-01-24 19:00:00,1362_4
2000-01-24 20:00:00,1356_8
2000-01-24 21:00:00,1351_1
2000-01-24 22:00:00,1345_4
2000-01-24 23:00:00,1339_6
2000-01-25 00:00:00,1333_8
2000-01-25 01:00:00,1327_9
2000-01-25 02:00:00,1322
2000-01-25 03:00:00,1316_1
2000-01-25 04:00:00,1310_1
2000-01-25 05:00:00,1304_1
2000-01-25 06:00:00,1298_1
2000-01-25 07:00:00,1291_9
2000-01-25 08:00:00,1285_5
2000-01-25 09:00:00,1279_2
2000-01-25 10:00:00,1272_9
2000-01-25 11:00:00,1266_8
2000-01-25 12:00:00,1260_6
2000-01-25 13:00:00,1254_5
2000-01-25 14:00:00,1248_4
2000-01-25 15:00:00,1242_4
2000-01-25 16:00:00,1236_5
2000-01-25 17:00:00,1230_6
2000-01-25 18:00:00,1224_8
2000-01-25 19:00:00,1219
2000-01-25 20:00:00,1213_4
2000-01-25 21:00:00,1207_8
2000-01-25 22:00:00,1202_4
2000-01-25 23:00:00,1197_1
2000-01-26 00:00:00,1191_8
2000-01-26 01:00:00,1186_7
2000-01-26 02:00:00,1181_7
2000-01-26 03:00:00,1176_8
2000-01-26 04:00:00,1172
2000-01-26 05:00:00,1167_3
2000-01-26 06:00:00,1162_7
2000-01-26 07:00:00,1158_2
2000-01-26 08:00:00,1153_8
2000-01-26 09:00:00,1149_6
2000-01-26 10:00:00,1145_5
2000-01-26 11:00:00,1141_4
2000-01-26 12:00:00,1137_4
2000-01-26 13:00:00,1133_4
2000-01-26 14:00:00,1129_5
2000-01-26 15:00:00,1125_7
2000-01-26 16:00:00,1122
2000-01-26 17:00:00,1118_4
2000-01-26 18:00:00,1114_8
2000-01-26 19:00:00,1111_3
2000-01-26 20:00:00,1107_9
2000-01-26 21:00:00,1104_5
2000-01-26 22:00:00,1101_2
2000-01-26 23:00:00,1098
2000-01-27 00:00:00,1095
2000-01-27 01:00:00,1091_9
2000-01-27 02:00:00,1089
2000-01-27 03:00:00,1086_1
2000-01-27 04:00:00,1083_2
2000-01-27 05:00:00,1080_5
2000-01-27 06:00:00,1077_8
2000-01-27 07:00:00,1075_2
2000-01-27 08:00:00,1072_5
2000-01-27 09:00:00,1069_9
2000-01-27 10:00:00,1067_3
2000-01-27 11:00:00,1064_8
2000-01-27 12:00:00,1062_3
2000-01-27 13:00:00,1059_7
2000-01-27 14:00:00,1057_2
2000-01-27 15:00:00,1054_7
2000-01-27 16:00:00,1052_3
2000-01-27 17:00:00,1049_8
2000-01-27 18:00:00,1047_3
2000-01-27 19:00:00,1044_8
2000-01-27 20:00:00,1042_2
2000-01-27 21:00:00,1039_7
2000-01-27 22:00:00,1037_1
2000-01-27 23:00:00,1034_4
2000-01-28 00:00:00,1031_8
2000-01-28 01:00:00,1029_2
2000-01-28 02:00:00,1026_5
2000-01-28 03:00:00,1023_9
2000-01-28 04:00:00,1021_2
2000-01-28 05:00:00,1018_6
2000-01-28 06:00:00,1015_9
2000-01-28 07:00:00,1013_3
2000-01-28 08:00:00,1010_6
2000-01-28 09:00:00,1008
2000-01-28 10:00:00,1005_4
2000-01-28 11:00:00,1002_8
2000-01-28 12:00:00,1000_1
2000-01-28 13:00:00,997_54
2000-01-28 14:00:00,994_93
2000-01-28 15:00:00,992_34
2000-01-28 16:00:00,989_75
2000-01-28 17:00:00,987_17
2000-01-28 18:00:00,984_6
2000-01-28 19:00:00,982_04
2000-01-28 20:00:00,979_48
2000-01-28 21:00:00,976_93
2000-01-28 22:00:00,974_38
2000-01-28 23:00:00,971_84
2000-01-29 00:00:00,969_3
2000-01-29 01:00:00,966_77
2000-01-29 02:00:00,964_25
2000-01-29 03:00:00,961_73
2000-01-29 04:00:00,959_22
2000-01-29 05:00:00,956_73
2000-01-29 06:00:00,954_26
2000-01-29 07:00:00,951_8
2000-01-29 08:00:00,949_36
