Time [yyyy-MM-dd HH:mm:ss],50872ObsUS: Discharge at (Bovenrijn_A_ 1071_391)_ Flow1D [m³/s]
2000-01-29 10:00:00,5837_3
2000-01-29 11:00:00,5826_1
2000-01-29 12:00:00,5814_9
2000-01-29 13:00:00,5803_6
2000-01-29 14:00:00,5792_4
2000-01-29 15:00:00,5781_2
2000-01-29 16:00:00,5770
2000-01-29 17:00:00,5758_7
2000-01-29 18:00:00,5747_5
2000-01-29 19:00:00,5736_3
2000-01-29 20:00:00,5725
2000-01-29 21:00:00,5713_8
2000-01-29 22:00:00,5702_6
2000-01-29 23:00:00,5691_4
2000-01-30 00:00:00,5680_1
2000-01-30 01:00:00,5673_4
2000-01-30 02:00:00,5666_7
2000-01-30 03:00:00,5659_9
2000-01-30 04:00:00,5653_2
2000-01-30 05:00:00,5646_5
2000-01-30 06:00:00,5639_8
2000-01-30 07:00:00,5633
2000-01-30 08:00:00,5626_3
2000-01-30 09:00:00,5619_6
2000-01-30 10:00:00,5612_8
2000-01-30 11:00:00,5606_1
2000-01-30 12:00:00,5599_4
2000-01-30 13:00:00,5592_6
2000-01-30 14:00:00,5585_9
2000-01-30 15:00:00,5579_2
2000-01-30 16:00:00,5572_5
2000-01-30 17:00:00,5565_7
2000-01-30 18:00:00,5559
2000-01-30 19:00:00,5552_3
2000-01-30 20:00:00,5545_5
2000-01-30 21:00:00,5538_8
2000-01-30 22:00:00,5532_1
2000-01-30 23:00:00,5525_3
2000-01-31 00:00:00,5518_6
